CNN,STREET,COLOR
54159000,ILLINOIS,RED
20230000,03RD ST,RED
20230000,JERROLD,YELLOW
20230000,NEWHALL,RED
25145000,HYDE,YELLOW
25145000,O'FARRELL,RED
25179000,O'FARRELL,YELLOW
25179000,POLK,RED
24893000,CYRIL MAGNIN,YELLOW
24893000,EDDY,RED
20824000,CESAR CHAVEZ,YELLOW
20824000,KANSAS,RED
27289000,09TH AVE,YELLOW
27289000,GEARY,RED
27475000,ANZA,YELLOW
27475000,PARK PRESIDIO,RED
23799000,03RD ST,YELLOW
23799000,KING,RED
25170000,GEARY,YELLOW
25170000,LARKIN,RED
25999000,HAIGHT,YELLOW
25999000,PIERCE,RED
10549000,GOODLETT,RED
10549000,MIDBLOCK AT,RED
10549000,GROVE,YELLOW
10549000,MCALLISTER,RED
22448000,IDORA,YELLOW
22448000,WOODSIDE,RED
25966000,GOLDEN GATE,YELLOW
25966000,WEBSTER,RED
24778000,JACKSON,YELLOW
24778000,KEARNY,RED
7832202,KING,RED
7832202,MIDBLOCK AT,RED
7832202,02ND ST,YELLOW
7832202,03RD ST,RED
20507000,03RD ST,YELLOW
20507000,UNDERWOOD,RED
25216000,FRANKLIN,YELLOW
25216000,POST,RED
23179000,17TH AVE,YELLOW
23179000,TARAVAL,RED
25191000,EDDY,YELLOW
25191000,FRANKLIN,RED
24075000,23RD ST,YELLOW
24075000,SOUTH VAN NESS,RED
24174000,17TH ST,YELLOW
24174000,VALENCIA,RED
26639000,FILLMORE,YELLOW
26639000,SACRAMENTO,RED
24903000,GEARY,YELLOW
24903000,POWELL,RED
26938000,CALIFORNIA,YELLOW
26938000,LOCUST,RED
24942000,O'FARRELL,YELLOW
24942000,TAYLOR,RED
23146000,BEACHMONT,YELLOW
23146000,SLOAT,RED
24122000,20TH ST,YELLOW
24122000,FOLSOM,RED
25220000,FRANKLIN,YELLOW
25220000,SUTTER,RED
24070000,24TH ST,YELLOW
24070000,CAPP,RED
21829000,HIGHLAND,YELLOW
21829000,MISSION,RED
20296000,BAYSHORE,YELLOW
20296000,TUNNEL,RED
23323000,JOHN MUIR,YELLOW
23323000,SKYLINE,RED
22662000,DORADO,RED
22662000,JULES,YELLOW
22662000,OCEAN,RED
27176000,FUNSTON,YELLOW
27176000,LINCOLN,RED
26845000,EUCLID,YELLOW
26845000,MASONIC,RED
26535000,CLAY,YELLOW
26535000,VAN NESS,RED
26011000,CASTRO,RED
26011000,DIVISADERO,YELLOW
26011000,WALLER,RED
20223000,03RD ST,RED
20223000,KIRKWOOD,YELLOW
20223000,NEWHALL,RED
54065000,GENEVA,YELLOW
54065000,STONERIDGE,RED
26541000,JACKSON,YELLOW
26541000,VAN NESS,RED
22223000,LEE,YELLOW
22223000,OCEAN,RED
25536000,BAY,YELLOW
25536000,LEAVENWORTH,RED
21354000,27TH ST,YELLOW
21354000,GUERRERO,RED
21589000,ALEMANY,YELLOW
21589000,SICKLES,RED
27968000,47TH AVE,YELLOW
27968000,FULTON,RED
9942000,OLYMPIA,RED
9942000,MIDBLOCK AT,YELLOW
9942000,CLARENDON,RED
25294000,CALIFORNIA,YELLOW
25294000,LARKIN,RED
25263000,LEAVENWORTH,YELLOW
