CNN,STREET,COLOR
20578000,SAN BRUNO,RED
25967000,MCALLISTER,YELLOW
25967000,WEBSTER,RED
24216000,11TH ST,RED
24216000,BRYANT,YELLOW
24216000,DIVISION,RED
24596000,HOWARD,YELLOW
24596000,NEW MONTGOMERY,RED
23746000,16TH ST,YELLOW
23746000,WISCONSIN,RED
24574000,DRUMM,YELLOW
24574000,SACRAMENTO,RED
23335000,CONSTANSO,RED
23335000,EVERGLADE,YELLOW
23335000,SLOAT,RED
26849000,PRESIDIO,YELLOW
26849000,SACRAMENTO,RED
23338000,34TH AVE,RED
23338000,CLEARFIELD,YELLOW
23338000,SLOAT,RED
20244000,03RD ST,RED
20244000,DAVIDSON,YELLOW
20244000,PHELPS,RED
20203000,EVANS,YELLOW
20203000,MENDELL,RED
24936000,ELLIS,YELLOW
24936000,JONES,RED
25303000,POLK,YELLOW
25303000,WASHINGTON,RED
8747101,MARKET,RED
8747101,MIDBLOCK AT,YELLOW
8747101,POWELL,RED
26614000,POST,YELLOW
26614000,STEINER,RED
26631000,PINE,YELLOW
26631000,STEINER,RED
34162000,03RD ST,YELLOW
34162000,WARRIORS WAY,RED
26817000,BRODERICK,YELLOW
26817000,PINE,RED
27537000,21ST AVE,YELLOW
27537000,GEARY,RED
23890000,06TH ST,RED
23890000,BRANNAN,YELLOW
23890000,US I-280 ON/OFF RAMPS,RED
27083000,05TH AVE,YELLOW
27083000,IRVING,RED
24139000,17TH ST,YELLOW
24139000,SOUTH VAN NESS,RED
50128000,GREENWICH,YELLOW
50128000,TELEGRAPH HILL,RED
25149000,ELLIS,YELLOW
25149000,LARKIN,RED
26400000,ANZA,RED
26400000,MASONIC,YELLOW
26400000,O'FARRELL,RED
27248000,04TH AVE,YELLOW
27248000,GEARY,RED
27084000,06TH AVE,YELLOW
27084000,IRVING,RED
21142000,ALABAMA,YELLOW
21142000,CESAR CHAVEZ,RED
33498000,GLENVIEW,YELLOW
33498000,PORTOLA,RED
26471000,FULTON,RED
26471000,PARKER,YELLOW
26471000,SHRADER,RED
24063000,24TH ST,YELLOW
24063000,SOUTH VAN NESS,RED
34026000,AVENUE C,YELLOW
34026000,CALIFORNIA AVE,RED
23205000,19TH AVE,YELLOW
23205000,PACHECO,RED
2692400,COOK,YELLOW
2692400,GEARY,RED
25197000,GEARY,YELLOW
25197000,VAN NESS,RED
26826000,BAKER,YELLOW
26826000,PINE,RED
27441000,CROSS OVER,YELLOW
27441000,MARTIN LUTHER KING JR,RED
23825000,LUSK,YELLOW
23825000,TOWNSEND,RED
10390000,PHELAN,RED
10390000,MIDBLOCK AT,YELLOW
10390000,CLOUD CIRCLE,RED
50081000,8TH ST,YELLOW
50081000,I-80 W OFF-RAMP,RED
24733000,KEARNY,YELLOW
24733000,SACRAMENTO,RED
24694000,BATTERY,YELLOW
24694000,CLAY,RED
23570000,03RD ST,YELLOW
23570000,18TH ST,RED
24324000,LEAVENWORTH,YELLOW
24324000,MCALLISTER,RED
33722000,PLYMOUTH,RED
33722000,SAGAMORE,RED
33722000,SAN JOSE,YELLOW
33722000,SICKLES,RED
22755000,CERRITOS,RED
22755000,OCEAN,YELLOW
22755000,WESTGATE,RED
24466000,MCALLISTER,YELLOW
24466000,VAN NESS,RED
22245000,GENNESSEE,YELLOW
22245000,MONTEREY,RED
30734000,02ND ST,YELLOW
30734000,MARKET,RED
25727000,15TH ST,YELLOW
25727000,CHURCH,RED
32904000,GREAT HWY,YELLOW
32904000,SLOAT,RED
26611000,CALIFORNIA,YELLOW
26611000,FILLMORE,RED
24145000,19TH ST,YELLOW
24145000,MISSION,RED
24326000,GOLDEN GATE,YELLOW
24326000,JONES,RED
26700000,CHESTNUT,YELLOW
26700000,FRANKLIN,RED
9096000,MISSION,RED
9096000,MIDBLOCK AT,RED
9096000,04TH ST,YELLOW
9096000,05TH ST,RED
20493000,03RD ST,YELLOW
20493000,ARMSTRONG,RED
24527000,FREMONT,YELLOW
24527000,HOWARD,RED
23929000,07TH ST,RED
23929000,HARRISON,YELLOW
23929000,US I-80 ON RAMP,RED
26542000,GOUGH,YELLOW
26542000,SACRAMENTO,RED
26065000,GOLDEN GATE,YELLOW
26065000,SCOTT,RED
27735000,JUDAH,YELLOW
27735000,SUNSET,RED
25607000,23RD ST,YELLOW
25607000,GUERRERO,RED
32935000,17TH ST,YELLOW
32935000,CORBIN,RED
27653000,25TH AVE,YELLOW
27653000,CALIFORNIA,RED
27221000,GEARY,RED
27221000,JORDAN,YELLOW
27221000,STANYAN,RED
11956201,SLOAT,RED
11956201,MIDBLOCK AT,RED
11956201,MIDDLEFIELD,YELLOW
11956201,RIVERTON,RED
25477000,BEACH,YELLOW
25477000,STOCKTON,RED
21940000,BOSWORTH,YELLOW
21940000,DIAMOND,RED
12552101,EMBARCADERO,RED
12552101,MIDBLOCK AT,RED
12552101,HOWARD,YELLOW
12552101,MISSION,RED
24490000,02ND ST,YELLOW
24490000,BRYANT,RED
27245000,03RD AVE,YELLOW
27245000,GEARY,RED
25461000,BAY,YELLOW
25461000,POWELL,RED
25053000,PACIFIC,YELLOW
25053000,STOCKTON,RED
27694000,ORTEGA,YELLOW
27694000,SUNSET,RED
26932000,BEAUMONT,YELLOW
26932000,GEARY,RED
26105000,MARKET,YELLOW
26105000,ROMAIN,RED
24456000,GOUGH,YELLOW
24456000,PAGE,RED
21349000,29TH ST,YELLOW
21349000,SAN JOSE,RED
21306000,26TH ST,YELLOW
21306000,MISSION,RED
23531000,ILLINOIS,YELLOW
23531000,MARIN,RED
34022000,AVENUE OF THE PALMS,YELLOW
34022000,CLIPPER COVE,RED
25973000,FILLMORE,YELLOW
25973000,TURK,RED
24354000,12TH ST,YELLOW
24354000,HOWARD,RED
25994000,OAK,YELLOW
25994000,STEINER,RED
33272000,SAN BRUNO,YELLOW
33272000,WAYLAND,RED
25175000,POLK,YELLOW
25175000,TURK,RED
23604000,EMBARCADERO,YELLOW
23604000,HARRISON,RED
20455000,03RD ST,YELLOW
20455000,FITZGERALD,RED
22927000,VICENTE,YELLOW
22927000,WEST PORTAL,RED
27554000,26TH AVE,YELLOW
27554000,GEARY,RED
24533000,FREMONT,RED
24533000,NATOMA,YELLOW
24533000,TRANSBAY TERMINAL,RED
24472000,FRANKLIN,YELLOW
24472000,FULTON,RED
24447000,FRANKLIN,YELLOW
24447000,OAK,RED
33751000,BAYSHORE,RED
33751000,JERROLD,YELLOW
33751000,US 101 OFF RAMP,RED
23964000,22ND ST WEST,YELLOW
23964000,POTRERO,RED
23070000,EUCALYPTUS,RED
23070000,JUNIPERO SERRA,YELLOW
23070000,OCEAN,RED
21540000,MISSION,YELLOW
21540000,WHIPPLE,RED
24083000,21ST ST,YELLOW
24083000,SOUTH VAN NESS,RED
24509000,FREMONT,YELLOW
24509000,HARRISON,RED
25964000,EDDY,YELLOW
25964000,LAGUNA,RED
26489000,ELLIS,YELLOW
26489000,FRANKLIN,RED
25352000,COLUMBUS,RED
25352000,GREEN,YELLOW
25352000,STOCKTON,RED
10612201,PORTOLA,RED
10612201,MIDBLOCK AT,RED
10612201,BURNETT,YELLOW
10612201,GLENVIEW,RED
30726000,MARKET,YELLOW
30726000,SPEAR,RED
24901000,GEARY,YELLOW
24901000,STOCKTON,RED
24484000,02ND ST,YELLOW
24484000,SOUTH PARK,RED
88970000,MCALLISTER,RED
88970000,MIDBLOCK AT,RED
88970000,GOUGH,YELLOW
88970000,LAGUNA,RED
33776000,BRYANT,YELLOW
33776000,MAIN,RED
25252000,CALIFORNIA,YELLOW
25252000,HYDE,RED
25144000,ELLIS,YELLOW
25144000,HYDE,RED
3242101,BROTHERHOOD EB,RED
3242101,MIDBLOCK AT,YELLOW
3242101,CHURCH ACCESS RD (801-849),RED
26074000,SCOTT,YELLOW
26074000,TURK,RED
21175000,BESSIE,RED
21175000,FOLSOM,YELLOW
21175000,PRECITA,RED
27510000,22ND AVE,YELLOW
27510000,FULTON,RED
22757000,APTOS,YELLOW
22757000,OCEAN,RED
25154000,GEARY,YELLOW
25154000,LEAVENWORTH,RED
26531000,BUCHANAN,YELLOW
26531000,BUSH,RED
26508000,CALIFORNIA,YELLOW
26508000,GOUGH,RED
25860000,DUBOCE,YELLOW
25860000,GUERRERO,RED
25164000,LEAVENWORTH,YELLOW
25164000,SUTTER,RED
23779000,16TH ST,YELLOW
23779000,VERMONT,RED
25573000,COLUMBUS,RED
25573000,LEAVENWORTH,YELLOW
25573000,NORTH POINT,RED
23796000,03RD ST,YELLOW
23796000,BERRY,RED
30756000,MARKET,RED
30756000,OCTAVIA,YELLOW
30756000,OCTAVIA RAMPS,RED
26005000,CASTRO,YELLOW
26005000,DUBOCE,RED
24548000,HOWARD,YELLOW
24548000,STEUART,RED
21694000,CASTLE MANOR,RED
21694000,MAYNARD,YELLOW
21694000,MISSION,RED
24929000,EDDY,YELLOW
24929000,JONES,RED
6436203,GREAT HWY,YELLOW
6436203,RIVERA,RED
3241201,BROTHERHOOD,YELLOW
3241201,SUMMIT,RED
27143000,07TH AVE,YELLOW
27143000,JUDAH,RED
26079000,BRODERICK,YELLOW
26079000,TURK,RED
24233000,10TH ST,YELLOW
24233000,FOLSOM,RED
26818000,CALIFORNIA,YELLOW
26818000,DIVISADERO,RED
27484000,CLEMENT,YELLOW
27484000,PARK PRESIDIO,RED
27486000,15TH AVE,YELLOW
27486000,GEARY,RED
26709000,GOUGH,YELLOW
26709000,UNION,RED
25227000,FRANKLIN,YELLOW
25227000,PINE,RED
32891000,36TH AVE,YELLOW
32891000,SLOAT,RED
33158000,BACON,RED
33158000,BAYSHORE,RED
33158000,EGBERT,YELLOW
33158000,PHELPS,RED
26843000,CALIFORNIA,YELLOW
26843000,LYON,RED
26501000,GOUGH,YELLOW
26501000,POST,RED
13332000,VISITACION,RED
13332000,MIDBLOCK,RED
13332000,HAHN,YELLOW
13332000,MANSELL,RED
25335000,STOCKTON,YELLOW
25335000,VALLEJO,RED
23421000,PACHECO,YELLOW
23421000,SUNSET,RED
23555000,03RD ST,YELLOW
23555000,22ND ST,RED
52238000,OCEAN,YELLOW
52238000,ON RAMP I-280,RED
9095000,MISSION,RED
9095000,MIDBLOCK AT,RED
9095000,03RD ST,YELLOW
9095000,04TH ST,RED
25234000,HYDE,YELLOW
25234000,PINE,RED
24448000,FELL,YELLOW
24448000,VAN NESS,RED
24246000,09TH ST,YELLOW
24246000,FOLSOM,RED
21379000,GENEVA,YELLOW
21379000,PRAGUE,RED
24044000,17TH ST,YELLOW
24044000,BRYANT,RED
23784000,16TH ST,YELLOW
23784000,OWENS,RED
25165000,BUSH,YELLOW
25165000,LEAVENWORTH,RED
20473000,03RD ST,YELLOW
20473000,INGERSON,RED
22449000,HERNANDEZ,YELLOW
22449000,WOODSIDE,RED
22156000,DETROIT,YELLOW
22156000,MONTEREY,RED
24113000,21ST ST,YELLOW
24113000,MISSION,RED
30741000,JONES,RED
30741000,MARKET,YELLOW
30741000,MCALLISTER,RED
34021000,AVENUE OF THE PALMS,RED
34021000,MACALLA,YELLOW
34021000,TREASURE ISLAND,RED
27555000,25TH AVE,YELLOW
27555000,CLEMENT,RED
26340000,CENTRAL,YELLOW
26340000,HAIGHT,RED
23572000,03RD ST,YELLOW
23572000,MARIPOSA,RED
25804000,16TH ST,RED
25804000,MARKET,YELLOW
25804000,NOE,RED
26629000,BUSH,YELLOW
26629000,STEINER,RED
27304000,12TH AVE,YELLOW
27304000,GEARY,RED
24522000,01ST ST,YELLOW
24522000,FOLSOM,RED
27149000,07TH AVE,YELLOW
27149000,IRVING,RED
26585000,ELLIS,YELLOW
26585000,WEBSTER,RED
24429000,08TH ST,RED
24429000,GROVE,RED
24429000,HYDE,YELLOW
24429000,MARKET,RED
24716000,BUSH,YELLOW
24716000,MONTGOMERY,RED
33718000,19TH AVE,YELLOW
33718000,WINSTON,RED
25032000,GRANT,YELLOW
25032000,PACIFIC,RED
27183000,KEZAR,YELLOW
27183000,MARTIN LUTHER KING JR,RED
26974000,DIVISADERO,YELLOW
26974000,LOMBARD,RED
25475000,BEACH,RED
25475000,EMBARCADERO,YELLOW
25475000,GRANT,RED
22193000,HOWTH,YELLOW
22193000,OCEAN,RED
25814000,17TH ST,RED
25814000,CASTRO,YELLOW
25814000,MARKET,RED
26347000,FELL,YELLOW
26347000,MASONIC,RED
26377000,GROVE,YELLOW
26377000,MASONIC,RED
24958000,SUTTER,YELLOW
24958000,TAYLOR,RED
26392000,MASONIC,YELLOW
26392000,TURK,RED
22232000,FOERSTER,YELLOW
22232000,MONTEREY,RED
24077000,22ND ST,YELLOW
24077000,FOLSOM,RED
23944000,05TH ST,YELLOW
23944000,HOWARD,RED
25684000,18TH ST,YELLOW
25684000,DOLORES,RED
21772000,ALEMANY,YELLOW
21772000,SANTA ROSA,RED
26836000,GEARY,YELLOW
26836000,MASONIC,RED
33027000,13TH ST,RED
33027000,DUBOCE,RED
33027000,MISSION,YELLOW
33027000,OTIS,RED
33364000,CESAR CHAVEZ,YELLOW
33364000,SOUTH VAN NESS,RED
26539000,FRANKLIN,YELLOW
26539000,WASHINGTON,RED
30049000,CALIFORNIA,YELLOW
30049000,DRUMM,RED
25583000,BAY,YELLOW
25583000,LARKIN,RED
25898000,HAIGHT,YELLOW
25898000,WEBSTER,RED
27854000,33RD AVE,YELLOW
27854000,GEARY,RED
24171000,15TH ST,YELLOW
24171000,MISSION,RED
4971000,DRUMM,RED
4971000,MIDBLOCK AT,RED
4971000,CLAY,YELLOW
4971000,SACRAMENTO,RED
25410000,BAY,YELLOW
25410000,STOCKTON,RED
26605000,CALIFORNIA,YELLOW
26605000,WEBSTER,RED
26481000,PARKER,YELLOW
26481000,TURK,RED
26030000,FELL,YELLOW
26030000,SCOTT,RED
23831000,03RD ST,YELLOW
23831000,BRYANT,RED
34155000,03RD ST,YELLOW
34155000,CHANNEL,RED
23592000,EMBARCADERO,RED
23592000,KING,RED
23592000,TOWNSEND,YELLOW
23592000,PIER 40,RED
22049000,MISSION,YELLOW
22049000,SENECA,RED
22464000,GOETHE,YELLOW
22464000,SAN JOSE,RED
23787000,16TH ST,YELLOW
23787000,MISSOURI,RED
24081000,22ND ST,YELLOW
24081000,SOUTH VAN NESS,RED
24749000,GRANT,YELLOW
24749000,SACRAMENTO,RED
24905000,CYRIL MAGNIN,YELLOW
24905000,O'FARRELL,RED
5885000,BUCHANAN,YELLOW
5885000,FULTON,RED
25157000,LEAVENWORTH,YELLOW
25157000,POST,RED
25701000,15TH ST,YELLOW
25701000,GUERRERO,RED
21703000,MISSION,YELLOW
21703000,TRUMBULL,RED
25958000,FULTON,YELLOW
25958000,LAGUNA,RED
26077000,DIVISADERO,YELLOW
26077000,TURK,RED
25824000,15TH ST,YELLOW
25824000,CASTRO,RED
20485000,03RD ST,YELLOW
20485000,WALLACE,RED
23800000,02ND ST,YELLOW
23800000,TOWNSEND,RED
24760000,PACIFIC,YELLOW
24760000,SANSOME,RED
23938000,04TH ST,YELLOW
23938000,FOLSOM,RED
27472000,BALBOA,YELLOW
27472000,PARK PRESIDIO,RED
24679000,BUSH,YELLOW
24679000,SANSOME,RED
20259000,CANDLESTICK,YELLOW
20259000,MONSTER PARK,RED
21444000,GENEVA,YELLOW
21444000,PARIS,RED
23952000,25TH ST,YELLOW
23952000,POTRERO,RED
33434000,ALEMANY,YELLOW
33434000,BROTHERHOOD,RED
26048000,STEINER,YELLOW
26048000,TURK,RED
25589000,LARKIN,YELLOW
25589000,NORTH POINT,RED
24911000,BUSH,YELLOW
24911000,STOCKTON,RED
26047000,PIERCE,YELLOW
26047000,TURK,RED
26062000,GOLDEN GATE,YELLOW
26062000,PIERCE,RED
26554000,FRANKLIN,YELLOW
26554000,GREEN,RED
27150000,08TH AVE,YELLOW
27150000,IRVING,RED
27520000,25TH AVE,YELLOW
27520000,CABRILLO,RED
26976000,BRODERICK,RED
26976000,LOMBARD,YELLOW
26976000,RICHARDSON,RED
21517000,ALEMANY,YELLOW
21517000,MOUNT VERNON,RED
24459000,GROVE,YELLOW
24459000,VAN NESS,RED
25485000,BEACH,YELLOW
25485000,MASON,RED
25480000,NORTH POINT,YELLOW
25480000,POWELL,RED
26427000,FREDERICK,YELLOW
26427000,STANYAN,RED
24941000,GEARY,YELLOW
24941000,TAYLOR,RED
24959000,JONES,YELLOW
24959000,SUTTER,RED
52189000,PHELAN,YELLOW
52189000,PHELAN LOOP,RED
23202000,19TH AVE,YELLOW
23202000,RIVERA,RED
21502000,LOWELL,RED
21502000,MISSION,YELLOW
21502000,NAGLEE,RED
26842000,LYON,YELLOW
26842000,PINE,RED
24674000,CALIFORNIA,YELLOW
24674000,FRONT,RED
26608000,BUSH,YELLOW
26608000,FILLMORE,RED
24540000,02ND ST,YELLOW
24540000,HOWARD,RED
20299000,BAYSHORE,YELLOW
20299000,BLANKEN,RED
24819000,BATTERY,RED
24819000,EMBARCADERO,YELLOW
24819000,LOMBARD,RED
25286000,HYDE,YELLOW
25286000,VALLEJO,RED
24421000,11TH ST,YELLOW
24421000,MISSION,RED
26504000,BUSH,YELLOW
26504000,GOUGH,RED
27557000,27TH AVE,YELLOW
27557000,GEARY,RED
26106000,GLENDALE,YELLOW
26106000,MARKET,RED
20238000,03RD ST,YELLOW
20238000,FAIRFAX,RED
21750000,ALEMANY,YELLOW
21750000,ONONDAGA,RED
21304000,CESAR CHAVEZ,YELLOW
21304000,MISSION,RED
26706000,FRANCISCO,YELLOW
26706000,VAN NESS,RED
2183101,ALEMANY - EB,RED
2183101,MIDBLOCK AT,RED
2183101,RAMSELL,YELLOW
2183101,VICTORIA,RED
22628000,CAPITOL,YELLOW
22628000,OCEAN,RED
26693000,FRANKLIN,YELLOW
26693000,GREENWICH,RED
27087000,06TH AVE,YELLOW
27087000,LINCOLN,RED
34172000,04TH ST,YELLOW
34172000,MISSION BAY SOUTH,RED
23887000,05TH ST,YELLOW
23887000,BRANNAN,RED
26057000,DIVISADERO,YELLOW
26057000,FULTON,RED
22744000,OCEAN,YELLOW
22744000,VICTORIA,RED
24724000,BUSH,YELLOW
24724000,KEARNY,RED
33719000,20TH AVE,YELLOW
33719000,WINSTON,RED
24311000,08TH ST,YELLOW
24311000,MISSION,RED
26076000,DIVISADERO,YELLOW
26076000,EDDY,RED
26038000,FELL,YELLOW
26038000,STEINER,RED
21893000,29TH ST,YELLOW
21893000,DOLORES,RED
4072000,CLARENDON,RED
4072000,MIDBLOCK AT,RED
4072000,OAK PARK,YELLOW
4072000,PANORAMA,RED
24524000,ESSEX,YELLOW
24524000,FOLSOM,RED
2805000,BAYSHORE,YELLOW
2805000,US 101 OFF RAMP,RED
25226000,PINE,YELLOW
25226000,VAN NESS,RED
25468000,CHESTNUT,RED
25468000,COLUMBUS,YELLOW
25468000,TAYLOR,RED
27372000,19TH AVE,YELLOW
27372000,IRVING,RED
22921000,CLAREMONT,YELLOW
22921000,PORTOLA,RED
26346000,ASHBURY,YELLOW
26346000,OAK,RED
25706000,16TH ST,YELLOW
25706000,DOLORES,RED
2449200,02ND ST,YELLOW
2449200,STILLMAN,RED
2864000,BEALE,YELLOW
2864000,NATOMA (TRANSBAY DRIVEWAY),RED
27538000,22ND AVE,YELLOW
27538000,GEARY,RED
24198000,09TH ST,RED
24198000,BRYANT,YELLOW
24198000,US 101 N OFF RAMP,RED
24000000,21ST ST,YELLOW
24000000,POTRERO,RED
27942000,GREAT HWY,YELLOW
27942000,LINCOLN,RED
25215000,POST,YELLOW
25215000,VAN NESS,RED
24965000,JONES,YELLOW
24965000,POST,RED
25939000,GOUGH,YELLOW
25939000,GROVE,RED
30050000,CLAY,YELLOW
30050000,DAVIS,RED
30045000,CHARLES J BRENHAM,YELLOW
30045000,MCALLISTER,RED
25221000,CALIFORNIA,YELLOW
25221000,POLK,RED
20813000,LOOMIS,YELLOW
20813000,OAKDALE,RED
24353000,11TH ST,YELLOW
24353000,HOWARD,RED
26505000,LAGUNA,YELLOW
26505000,POST,RED
23536000,03RD ST,YELLOW
23536000,26TH ST,RED
24924000,TAYLOR,YELLOW
24924000,TURK,RED
21901000,CESAR CHAVEZ,YELLOW
21901000,DOLORES,RED
33539000,JOHN MUIR,YELLOW
33539000,LAKE MERCED,RED
8711022,04TH ST,YELLOW
8711022,CHINA BASIN,RED
24770000,CLAY,YELLOW
24770000,KEARNY,RED
24925000,EDDY,YELLOW
24925000,TAYLOR,RED
12727000,BUCHANAN,YELLOW
12727000,TURK,RED
21744000,MISSION,YELLOW
21744000,PERSIA,RED
21812000,CIRCULAR,RED
21812000,MONTEREY,YELLOW
21812000,US I-280 ON/OFF RAMPS,RED
19285000,NB I-280 SAN JOSE OFF RAMP,RED
19285000,MIDBLOCK AT,YELLOW
19285000,EAST OF SAN JOSE,RED
26567000,GOUGH,YELLOW
26567000,PACIFIC,RED
24333000,HYDE,YELLOW
24333000,MCALLISTER,RED
24189000,ALAMEDA,YELLOW
24189000,POTRERO,RED
27745000,36TH AVE,RED
27745000,37TH AVE,YELLOW
27745000,LINCOLN,RED
24001000,20TH ST,YELLOW
24001000,POTRERO,RED
26821000,DIVISADERO,YELLOW
26821000,SACRAMENTO,RED
24552000,MISSION,YELLOW
24552000,STEUART,RED
